lifetime_gross,rank,studio,title,year
936662225,1,BV,Star Wars: The Force Awakens,2015
760507625,2,Fox,Avatar,2009
659363944,3,Par.,Titanic,1997
652270625,4,Uni.,Jurassic World,2015
623357910,5,BV,Marvel's The Avengers,2012
604273911,6,BV,Star Wars: The Last Jedi,2017
534858444,7,WB,The Dark Knight,2008
532177324,8,BV,Rogue One: A Star Wars Story,2016
504014165,9,BV,Beauty and the Beast (2017),2017
486295561,10,BV,Finding Dory,2016
474544677,11,Fox,Star Wars: Episode I - The Phantom Menace,1999
460998007,12,Fox,Star Wars,1977
459005868,13,BV,Avengers: Age of Ultron,2015
448139099,14,WB,The Dark Knight Rises,2012
441226247,15,DW,Shrek 2,2004
435110554,16,Uni.,E.T.: The Extra-Terrestrial,1982
424668047,17,LGF,The Hunger Games: Catching Fire,2013
423315812,18,BV,Pirates of the Caribbean: Dead Man's Chest,2006
422783777,19,BV,The Lion King,1994
415004880,20,BV,Toy Story 3,2010
412563408,21,WB,Wonder Woman,2017
409013994,22,BV,Iron Man 3,2013
408084349,23,BV,Captain America: Civil War,2016
408010692,24,LGF,The Hunger Games,2012
403706375,25,Sony,Spider-Man,2002
402453882,26,Uni.,Jurassic Park,1993
402111870,27,P/DW,Transformers: Revenge of the Fallen,2009
400738009,28,BV,Frozen,2013
389813101,29,BV,Guardians of the Galaxy Vol. 2,2017
381011219,30,WB,Harry Potter and the Deathly Hallows Part 2,2011
380843261,31,BV,Finding Nemo,2003
380270577,32,Fox,Star Wars: Episode III - Revenge of the Sith,2005
377845905,33,NL,The Lord of the Rings: The Return of the King,2003
373585825,34,Sony,Spider-Man 2,2004
370782930,35,NM,The Passion of the Christ,2004
368384330,36,Uni.,The Secret Life of Pets,2016
368061265,37,Uni.,Despicable Me 2,2013
364001123,38,BV,The Jungle Book (2016),2016
363070709,39,Fox,Deadpool,2016
356461711,40,BV,Inside Out,2015
353007020,41,Uni.,Furious 7,2015
352390543,42,P/DW,Transformers: Dark of the Moon,2011
350126372,43,WB,American Sniper,2014
342551365,44,NL,The Lord of the Rings: The Two Towers,2002
341268248,45,BV,Zootopia,2016
337135885,46,LGF,The Hunger Games: Mockingjay - Part 1,2014
336530303,47,Sony,Spider-Man 3,2007
336045770,48,Uni.,Minions,2015
334201140,49,Sony,Spider-Man: Homecoming,2017
334191110,50,BV,Alice in Wonderland (2010),2010
333176600,51,BV,Guardians of the Galaxy,2014
330360194,52,WB,Batman v Superman: Dawn of Justice,2016
330252182,53,Par.,Forrest Gump,1994
327481748,54,WB (NL),It,2017
325100054,55,WB,Suicide Squad,2016
322719944,56,P/DW,Shrek the Third,2007
319246193,57,P/DW,Transformers,2007
318412101,58,Par.,Iron Man,2008
317575550,59,WB,Harry Potter and the Sorcerer's Stone,2001
317101119,60,Par.,Indiana Jones and the Kingdom of the Crystal Skull,2008
316450318,61,Sony,Jumanji: Welcome to the Jungle,2017
315544750,62,NL,The Lord of the Rings: The Fellowship of the Ring,2001
313433047,63,BV,Thor: Ragnarok,2017
312433331,64,Par.,Iron Man 2,2010
310676740,65,Fox,Star Wars: Episode II - Attack of the Clones,2002
309420425,66,BV,Pirates of the Caribbean: At World's End,2007
309306177,67,Fox,Return of the Jedi,1983
306169268,68,Fox,Independence Day,1996
305413918,69,BV,Pirates of the Caribbean: The Curse of the Black Pearl,2003
304360277,70,Sony,Skyfall,2012
303003568,71,WB (NL),The Hobbit: An Unexpected Journey,2012
301959197,72,WB,Harry Potter and the Half-Blood Prince,2009
