query,keyword,volume,cpc,value
iphone,16gb vs 64gb iphone 6,170,21.28,3617.6
iphone,2-step verification iphone,480,7.43,3566.4
iphone,2015 iphone release,320,5.57,1782.4
iphone,128gb iphone 6,1600,1.0,1600.0
iphone,2015 iphone,1000,1.4,1400.0
iphone,1mobile market for iphone,210,6.13,1287.3
iphone,24k gold iphone 6,2900,0.41,1189.0
iphone,16gb iphone 6,1000,1.1,1100.0
iphone,128gb iphone,320,2.63,841.6
iphone,12gb iphone 5s,90,7.24,651.6
iphone,0$ down iphone 6,260,2.5,650.0
iphone,0 down iphone 6,260,2.5,650.0
iphone,1st gen iphone,480,1.25,600.0
iphone,15 iphone tricks,50,11.9,595.0
iphone,24 carat gold iphone 6,390,1.23,479.7
iphone,128gb iphone 6 plus,480,0.94,451.2
iphone,16gb iphone 5c,390,1.06,413.4
iphone,10ft iphone 5 charger,880,0.46,404.8
iphone,10ft iphone 6 charger,720,0.56,403.2
iphone,16gb iphone,260,1.5,390.0
iphone,1mobile market iphone,90,4.09,368.1
iphone,16 gig iphone 6,170,2.02,343.4
iphone,2 step verification gmail iphone,140,2.4,336.0
iphone,16 gb iphone,140,2.27,317.8
iphone,18 iphone apps,10,27.84,278.4
iphone,16gb iphone 5s,260,1.07,278.2
iphone,12 gb iphone 6,110,2.38,261.8
iphone,128 iphone 6,90,2.83,254.7
iphone,2nd phone number for iphone,10,25.3,253.0
iphone,10 foot iphone 5 charger,590,0.4,236.0
iphone,24k iphone 6,590,0.4,236.0
iphone,10 foot iphone 6 charger,590,0.39,230.1
iphone,16g iphone 6,170,1.33,226.1
iphone,1password iphone,170,1.23,209.1
iphone,000 00 iphone,30,6.76,202.8
iphone,164 gb iphone 6,40,4.44,177.6
iphone,10ft iphone charger,390,0.45,175.5
iphone,2 step verification iphone,210,0.76,159.6
iphone,16gb iphone 5,170,0.92,156.4
iphone,$100 iphone 6,140,1.09,152.6
iphone,10 best iphone apps,70,2.14,149.8
iphone,100 iphone,50,2.62,131.0
iphone,100 iphone 5s,70,1.86,130.2
iphone,16gb vs 32gb iphone,40,3.22,128.8
iphone,1st iphone,1600,0.08,128.0
iphone,10 foot iphone charger,260,0.49,127.4
iphone,10 phones better than iphone,10,12.66,126.6
iphone,128gb iphone 5s,90,1.39,125.1
iphone,16gb iphone 5 price,20,5.98,119.6
iphone,16 or 32 gb iphone,10,11.15,111.5
iphone,0 divided by 0 iphone,20,5.45,109.0
iphone,200 gb iphone,10,10.77,107.7
iphone,1 iphone,210,0.51,107.1
iphone,24k gold iphone,320,0.33,105.6
iphone,24 karat gold iphone 6,480,0.22,105.6
iphone,100 best apps for iphone,20,5.21,104.2
iphone,128g iphone 6,140,0.74,103.6
iphone,16 iphone 6,20,5.16,103.2
iphone,16gb iphone 5s price,20,5.09,101.8
iphone,1 iphone 6,90,1.12,100.8
iphone,24-karat gold iphone 6,480,0.21,100.8
iphone,1password for iphone,90,1.09,98.1
iphone,0$ down iphone,70,1.29,90.3
iphone,1 rated gps tracker iphone,10,8.75,87.5
iphone,24 hour iphone repair,50,1.67,83.5
iphone,16gb iphone 4s,90,0.91,81.9
iphone,3 card poker app iphone,10,8.16,81.6
iphone,$200 iphone 6,110,0.7,77.0
iphone,$200 iphone 5s,30,2.31,69.3
iphone,2 phone lines on iphone,20,3.44,68.8
iphone,16g iphone,30,2.29,68.7
iphone,0682 iphone,20,3.37,67.4
iphone,128gb iphone 5,30,2.2,66.0
iphone,16g iphone 5c,40,1.65,66.0
iphone,2d barcode scanner iphone,30,2.19,65.7
iphone,16 gb iphone 5,70,0.91,63.7
iphone,16 gig iphone,30,2.06,61.8
iphone,1st generation iphone,590,0.1,59.0
iphone,20 iphone,30,1.88,56.4
iphone,16gb iphone vs 32gb,10,5.56,55.6
iphone,10 best free apps for iphone,10,5.33,53.3
iphone,16gb iphone 5c price,10,5.3,53.0
iphone,16gb iphone 4,50,1.02,51.0
iphone,10 ft long iphone charger,110,0.46,50.6
iphone,16gb iphone 5s unlocked,20,2.49,49.8
iphone,$100 iphone 5c,30,1.65,49.5
iphone,16g iphone 6 plus,30,1.64,49.2
iphone,16gb iphone 5s verizon,20,2.45,49.0
iphone,0 down iphone 5s,40,1.18,47.2
iphone,2007 iphone,390,0.12,46.8
iphone,24 karat gold iphone,90,0.51,45.9
iphone,24kt gold iphone 6,170,0.26,44.2
iphone,16 gig iphone 6 plus,40,1.09,43.6
iphone,128gb iphone 6 verizon,40,1.06,42.4
iphone,24 carat iphone 6,90,0.47,42.3
iphone,0 iphone 6,10,4.05,40.5
iphone,2 gig iphone app,10,4.05,40.5
iphone,128g iphone,20,2.02,40.4
iphone,16g iphone 6 price,10,4.01,40.1
iphone,12 south iphone 6,30,1.28,38.4
iphone,2 year contract iphone 5c,10,3.82,38.2
iphone,16 gig iphone 5,40,0.95,38.0
iphone,128gb iphone 6 price,110,0.33,36.3
iphone,2 phone numbers on 1 iphone,20,1.75,35.0
iphone,1d barcode scanner iphone,10,3.46,34.6
iphone,100 free iphone 6,10,3.4,34.0
iphone,10 ft iphone 5 charger,70,0.48,33.6
iphone,0 dollars down iphone,40,0.83,33.2
iphone,128gb iphone 6 plus verizon,50,0.66,33.0
iphone,10 ft iphone 4 charger,40,0.81,32.4
iphone,128 iphone,20,1.6,32.0
iphone,10 ft iphone 4s charger,10,3.14,31.4
iphone,2nd hand iphone 5s price,10,3.13,31.3
iphone,10ft iphone cord,40,0.78,31.2
iphone,100 gb iphone,20,1.55,31.0
iphone,16gb silver iphone 5s,10,3.08,30.8
iphone,2nd hand iphone,20,1.53,30.6
iphone,0 down iphone 5c,10,3.03,30.3
iphone,2680mah iphone 4s battery,10,2.99,29.9
iphone,1 iphone 5s,20,1.47,29.4
iphone,2015 iphone update,10,2.92,29.2
iphone,2 way radio app for iphone,10,2.9,29.0
iphone,12 foot iphone cable,10,2.8,28.0
iphone,10 foot iphone 4 charger,90,0.31,27.9
iphone,2 numbers on one iphone,20,1.38,27.6
iphone,10ft charger for iphone 5,50,0.53,26.5
iphone,200 iphone,20,1.31,26.2
iphone,200 $ iphone,20,1.31,26.2
iphone,2nd line app iphone,10,2.6,26.0
iphone,10 foot long iphone 6 charger,70,0.37,25.9
iphone,2nd line iphone app,10,2.57,25.7
iphone,10 foot iphone 5s charger,50,0.5,25.0
iphone,29 card game for iphone,10,2.48,24.8
iphone,128gb iphone 6 unlocked,40,0.61,24.4
iphone,10 ft long iphone 5 charger,50,0.47,23.5
iphone,16 gb iphone 4,20,1.17,23.4
iphone,128gb iphone 6 ebay,20,1.11,22.2
iphone,10ft iphone charger cable,20,1.1,22.0
iphone,24 carat gold iphone,50,0.44,22.0
iphone,0$ iphone 6,10,2.17,21.7
iphone,2nd iphone 5s,10,2.12,21.2
iphone,10 iphone games,10,2.12,21.2
iphone,16 g iphone,10,2.1,21.0
iphone,10 ft iphone cable,30,0.69,20.7
iphone,199 iphone 6,20,1.03,20.6
iphone,10 foot iphone cable,40,0.51,20.4
iphone,16gb 5c iphone,10,2.02,20.2
iphone,0 down payment iphone 6,10,1.98,19.8
iphone,10 ft iphone cord,30,0.64,19.2
iphone,10w power adapter iphone,10,1.87,18.7
iphone,2pac iphone 5s case,30,0.62,18.6
iphone,2nd phone line on iphone,10,1.81,18.1
iphone,2nd iphone 6,10,1.8,18.0
iphone,24 karat gold iphone case,30,0.6,18.0
iphone,10 foot long iphone 5 charger,50,0.36,18.0
iphone,2.1 amp charger iphone,20,0.89,17.8
iphone,21 iphone case,30,0.59,17.7
iphone,0.iphone,20,0.88,17.6
iphone,0 iphone,20,0.88,17.6
iphone,$125 iphone 5s,10,1.75,17.5
iphone,128gb iphone 6 plus price,70,0.25,17.5
iphone,199$iphone,10,1.73,17.3
iphone,02 iphone deals,10,1.71,17.1
iphone,10 foot long iphone charger,30,0.56,16.8
iphone,10 foot iphone cord,30,0.56,16.8
iphone,10ft iphone 4s charger,20,0.83,16.6
iphone,128gb iphone 6 tmobile,20,0.82,16.4
iphone,2015 iphone 6 cases,40,0.41,16.4
